ABSTRACT ID ,Title,Category,Authors,Affiliations,Keywords,ImageUrl,Background,Materials & Methods,Results,Conclusion
AA-011,"""SEEING FASTER, SEEING SHARPER"" - QUANTITATIVE INTER-READER
 COMPARISON OF ULTRAFAST VERSUS STANDARD DYNAMIC
 CONTRAST-ENHANCED BREAST MRI",Scientific Research,"Pik Hey Lee 1 , Pak Lun Lam 1 , Cherry Cheuk Yan Chan 1 , Wai Pan Cheung 1 , Lai Wan Lo 1 ,
 Wing Sze Mak 1 , Lily Ka Man Wong 1 , Eliza Po Yan Eliza Fung 1","Department of Diagnostic and Interventional Radiology, Kwong Wah Hospital, Hong
 Kong SAR","Breast Neoplasm, Dynamic Contrast Enhanced Magnetic Resonance Imaging",,"Ultrafast dynamic contrast-enhanced (DCE) MRI is a high temporal resolution technique
 for breast lesion characterisation, though its potential to improve lesion conspicuity
 remains debated. This study aims to perform quantitative inter-reader comparison of
 enhancing breast lesion conspicuity in ultrafast versus standard DCE MRI.","Methods
 This single-centre retrospective study reviewed consecutive breast MRI performed from
 March 2024 to March 2025 with pathologically proven breast lesions. Ultrafast and
 standard DCE sequences were performed in the same session. These studies were divided
 into two sets, each containing either ultrafast or standard DCE MRI, in randomised order.
 Two breast radiologists independently assessed the two sets in a blinded fashion, with a
 three-month washout period. Enhancing breast lesions and breast parenchyma were
 segmented manually to calculate contrast-to-noise ratio (CNR) for quantitative
 conspicuity assessment. Each study was also assessed for image quality on a five-point
 Likert scale. Background parenchymal enhancement (BPE), lesion morphology and
 enhancement pattern were evaluated according to BI-RADS v2025. Comparisons were
 made using Wilcoxon signed-rank test. Inter-rater agreement was performed using
 Cohen's kappa.
"," Results
 A total of 71 studies (median age 60.1 years) with 95 enhancing breast lesions (49
 benign, 46 malignant) were assessed. Overall, CNR breast lesions were higher on
 ultrafast than standard DCE MRI (23.4 vs 21.2, p=0.002). In subgroup analysis, this
 difference remained significant in patients with moderate or marked BPE (26.7 vs 22.4,
 p=0.002) and in malignant lesions (22.8 vs 17.7, p&lt;0.001), but not in patients with
 minimal or mild BPE (21.0 vs 21.1, p=0.272) or in benign lesions (25.3 vs 24.9,
 p=0.214). While image quality was inferior in ultrafast studies (4 vs 5, p<0.001), inter-
 rater agreement on lesion morphology and enhancement pattern remained high (K>0.90).","Ultrafast DCE MRI improves conspicuity of breast lesions, especially for patients with
 moderate or high BPE, and in malignancy."
AA-012,"EARLY BREAST CANCER DETECTION USING COMPLEMENTARY
 MULTIMODALITY IMAGING FROM CONVENTIONAL TO ADVANCE TO
 ACHIEVED BETTER PROGNOSIS.",Case Report/Series,"Yashinta G., Maria Angelina1
 
 , Choridah, Lina2
 
 , Hikmawati, Sariningsih3","1Tzu Chi Hospital, Jakarta, Indonesia, 2Radiology Department, Faculty of Medicine, Public Health,
 and Nursing Gadjah Mada University, Yogyakarta, Indonesia, 3 Dharmais Cancer Center Hospital,
 Jakarta, Indonesia.v","multimodality imaging, breast ultrasound, DBT, Breast MRI, early diagnosis.",,"Finding of small suspicious non palpable lesions in patient with atypical symptom often become a
 diagnostic challenge. Multimodality imaging is needed to help establish the diagnosis before patient
 undergoing invasive procedures. Correct diagnosis of small lesions ensures a good prognosis.","Case Presentation
 A 64-year-old female patient presented with left shoulder pain. Breast ultrasound was performed
 to rule out pathology, chosen because mammography is not available in the first hospital. It revealed
 a small, non-palpable, irregular, suspicious lesion at 2 o'clock, 5 cm from the left nipple, measuring
 4.7 mm. Digital breast tomosynthesis (DBT) in the other hospital showed heterogeneous breast
 composition, without focal asymmetry or architectural distortion. Contrast-enhanced breast MRI
 revealed an enhanced, irregular lesion with indistinct margins measuring 7.4 mm with type I kinetic
 curve, low suspicion for malignancy (BI-RADS 4A). Patient refused biopsy or lumpectomy
 recommended by the oncologist. A 6-month ultrasound follow-up revealed an enlarged lesion with
 one new suspicious nodule. Breast-conserving surgery was performed, but the incision margins
 were not tumor-free, leading to a modified mastectomy. Pathology revealed a grade 3 multifocal
 invasive carcinoma of no-special-type with DCIS without axillary lymph node involvement. Post-
 mastectomy PET scan showed no axillary lymph node spread or distant metastases.
 
"," Discussion
 Detecting breast carcinoma at early stage with mammography and breast ultrasound is crucial for
 ensuring good clinical outcome. Mammography in dense breasts may be low sensitive for detecting
 masses, but can assess the presence of microcalcification or architectural distortion. In early breast
 cancer with small lesions, if mammography and ultrasound are inconclusive, MRI is required to
 help confirm the diagnosis before invasive procedures. Post-contrast enhancement on breast MRI can detect lesions not visible on mammography.","Multimodality imaging (ultrasound, mammography/DBT, Breast MRI) is needed for the
 management of patients with early breast cancer to achieve a good prognostic outcome."
AA-013,CHRONIC SUPPURATIVE MASTITIS MIMICKING BREAST CANCER IN A NON-PUERPERAL WOMAN: A CASE REPORT,Case Report/Series,"S. Hayuningsih 1 , T. W. Handarini 2 , L. Choridah","1 Fellowship student of Woman Imaging
 2 Soetomo Academic General Hospital
 
 3 Faculty of Medicine, Public Health, and Nursing UGM/ Dr. Sardjito General Hospital
 Prof. Dr. W. Z. Johannes Regional General Hospital, Kupang, East Nusa Tenggara, Indonesia","chronic suppurative mastitis, breast cancer, histopathological examination, non
 puerperal.",,"Introduction: Chronic suppurative mastitis is a rare benign inflammatory breast disease
 characterized by persistent infection, chronic inflammation, and abscess formation. It is clinical
 and radiological features may closely mimic breast carcinoma, making histopathological
 examination essential for definitive diagnosis.","Case Presentation: A 23 year old non puerperal woman with no history of breastfeeding
 presented with a one-month history of painful swelling and mild erythema of the left breast,
 referred from Oncologist Surgeon, as suspected Malignancy. Breast ultrasonography
 demonstrated an irregular hypoechoic mass, wider than taller, with echogenic material, without
 internal moving echo, accompanied by soft tissue edema and suspicious left axillary
 lymphadenopathy, raising concern for breast malignancy. Chest radiography revealed a left
 breast soft tissue mass without pulmonary abnormalities. However, histopathological
 examination confirmed chronic suppurative mastitis without evidence of tuberculosis and
 malignancy.
"," Discussion: This case highlights the diagnostic challenge of chronic suppurative mastitis in a
 non puerperal young woman. Imaging findings, including irregular hypoechoic mass, wider than
 taller, with echogenic material, without internal moving echo, accompanied by soft tissue edema,
 and with axillary lymphadenopathy, may overlap substantially with those of breast cancer,
 limiting the specificity of radiological evaluation. Histopathological examination remains the
 gold standard for differentiating benign inflammatory breast disease from carcinoma, thereby
 preventing unnecessary oncologic treatment. Accurate diagnosis requires close multidisciplinary
 collaboration among radiologists, surgeons, and pathologists.","Conclusion: Chronic suppurative mastitis should be considered in the differential diagnosis of
 suspicious breast masses, even in young non puerperal women without a history of
 breastfeeding. Histopathological confirmation is indispensable for establishing the correct
 diagnosis, avoiding unnecessary oncologic intervention, and guiding appropriate management."
AA-014,"RADIOLOGIC-PATHOLOGIC DISCORDANCE IN A GIANT FIBROEPITHELIAL
 BREAST LESION MIMICKING PHYLLODES TUMOR: A DIAGNOSTIC
 CHALLENGE.",Case Report/Series,"Ike Chandra Putri, MD, Sp.Rad., MARS1; Lina Choridah, MD, PhD, Sp.Rad(K)2;
 Sariningsih Hikmawati, MD, Sp.Rad(K)3.","RS Aqidah, Tangerang, Indonesia.","Fibroepithelial breast lesion; Giant fibroadenoma; phyllodes tumour; Breast
 ultrasonography; Radiologicpathologic discordance.",,"Fibroepithelial breast lesions (FELs), including fibroadenomas and phyllodes tumors, frequently
 demonstrate overlapping clinical, imaging, and histopathological features, making preoperative
 diagnosis challenging. Although ultrasound-guided core needle biopsy (CNB) is the standard
 method for tissue diagnosis, sampling limitations in large heterogeneous lesions may result in
 radiologic-pathologic discordance. We report a giant fibroepithelial breast lesion highlighting the
 importance of imaging-pathology correlation.","Case Presentation.
 A 37-year-old nulliparous woman presented with a progressively enlarging right breast mass over
 five years. Breast ultrasonography demonstrated a giant multilobulated hypoechoic solid mass
 with circumscribed margins, non-parallel orientation, and increased intra- and perilesional
 vascularity on color Doppler, occupying the lower outer quadrant of the right breast. The lesion
 measured >7 cm and exceeded the ultrasound field of view, limiting posterior chest wall
 evaluation. Additional bilateral fibroadenoma-like nodules and multiple simple cysts were
 identified. No suspicious axillary lymphadenopathy was detected. The dominant lesion was
 categorized as BI-RADS 4A, suggesting a giant fibroepithelial lesion with differential diagnoses
 of giant fibroadenoma and phyllodes tumor. Ultrasound-guided CNB revealed fibroadenoma with
 myxoid stromal degeneration and stromal hyalinization without malignancy. Because the benign
 pathology was discordant with the suspicious imaging findings, the patient was referred to the
 National Cancer Center Dharmais for definitive surgical management. Final surgical
 histopathology was pending at the time of abstract submission.
 
"," Discussion
 Giant fibroadenomas and phyllodes tumors share overlapping sonographic features, including
 large size, multilobulated contour, heterogeneous echotexture, and increased vascularity.
 Sampling error on CNB may underestimate phyllodes tumor in large heterogeneous lesions.
 Therefore, radiologic-pathologic correlation and multidisciplinary assessment are essential when
 discordance is encountered.","Radiologic-pathologic discordance should prompt further evaluation despite benign CNB
 findings. Triple assessment remains essential for appropriate management of giant fibroepithelial
 breast lesions."
AA-015,"ORGANOTROPISM IN METASTATIC BREAST CANCER: A COMPARATIVE
 ANALYSIS OF BONE, BRAIN, AND LUNG INVOLVEMENT IN A TERTIARY REFERRAL CENTER",Scientific Research,"Lina ChoridahÂ¹, Antoinette D.I van Asselt 2 , Ajeng Viska Icanervilia","Â¹Department Radiology, Faculty of Medicine, Public Health, and Nursing, Universitas
 
 Gadjah Mada, Yogyakarta, Indonesia
 
 2 Department of Epidemiology, University Medical Centre Groningen, Groningen, The
 
 Netherlands","Breast Cancer, Colorectal Cancer, Organotropism, Metastasis",,"Organotropism describes the preferential spread of cancer cells to specific organs.
 Understanding this patterns in breast cancer may improve disease characterization and
 inform surveillance strategies. This study evaluated organ-specific metastatic
 involvement and radiological phenotypes in patients with breast cancer.","Methods
 A retrospective study was conducted using medical records from a tertiary referral center
 between July and December 2024. A total of 1,014 patients with metastases originating
 from five primary cancers were included. Site-specific metastatic frequencies, anatomical
 distributions, radiological phenotypes, and organ-specific metastases according to
 molecular subtype were evaluated. Categorical associations between breast cancer and
 radiological metastatic patterns were analyzed using the chi-square test with standardized
 residual analysis and compared with colorectal cancer.
 ","Results
 In a cohort of 500 patients with metastatic breast cancer, bone was the most frequent site
 of distant metastasis, affecting 305 patients (61.0%), with the spine being the
 predominant skeletal location. Lung metastases were observed in 146 patients (29.2%),
 ranking as the second most common metastatic site. However, compared to colorectal
 cancer, breast cancer was associated with significantly lower odds of developing lung
 metastases (OR = 0.505, p = 0.005). Among patients with pulmonary metastases, breast
 cancer was significantly more likely than other primary malignancies to present with a
 pneumonic pattern (OR = 3.487, p &lt; 0.001), which also tended to demonstrate unilateral
 distribution. Brain metastases were most located in the frontal and parietal lobes, and the
 HER2-enriched molecular subtype showed a higher prevalence of brain involvement than
 the other breast cancer subtypes.","Breast cancer exhibits distinct organotropism characterized by predominant bone
 involvement and specific pulmonary and cerebral metastatic patterns. Differences in
 metastatic distribution highlight the biological heterogeneity of metastatic spread. These
 findings may support risk stratification, personalized imaging surveillance, and earlier
 detection of metastatic disease."
AA-016,"The Role of Breast MRI in Initial Evaluation and Post-Treatment Assessment of
 Breast Masses in Dense Breasts",Case Report/Series,"Widya Surya Avanti1
 
 , Lina Choridah
 2
 , Lydia Purna Kuntjoro
 3
 , Sumadi Lukman
 
 Anwar","Department of Radiology, RSUD Wates, Kulonprogo, Yogyakarta 55651, Indonesia2Department of Radiology, RSUP Dr Sardjito / Faculty of Medicine, Public Health, and Nursing Universitas Gadjah Mada, Yogyakarta 55281, Indonesia. 3Department of Radiology, Faculty of Medicine, Universitas Diponegoro, Semarang50275, Indonesia. 
 4Surgical Oncology Division, Department of Surgery, RSUP Dr Sardjito / Facultyof Medicine, Public Health, and Nursing, Universitas Gadjah Mada, Yogyakarta 55281, Indonesia.",Breast MRI; Dense breast; Breast cancer; Neoadjuvant therapy; Treatment response,,"Dense breast tissue reduces the sensitivity of conventional breast imaging, makinglesion detection and characterization more challenging. Breast magnetic resonanceimaging (MRI) provides excellent soft-tissue contrast and functional assessment, enabling accurate evaluation of tumour extent and treatment response","A 43-year-old woman presented with a palpable left breast mass that had progressively enlarged over two months. Breast MRI demonstrated two mixed solid- cystic masses in the left breast. The dominant inferomedial lesion measured 2.3 × 3.0 × 4.0 cm, while a second medial lesion measured 1.0 × 2.0 × 1.0 cm. Both lesions showed irregular morphology, non-circumscribed margins, heterogeneous enhancement, rapid initial enhancement, and delayed washout kinetics, suggestive of malignancy. Core needle biopsy revealed invasive ductal carcinoma, Luminal B, HER2-positive. Initial PET scan showed no distant metastatic lesion. The patient received six cycles of trastuzumab deruxtecan every three weeks. Follow-up MRI
demonstrated a marked reduction in the size and enhancement of the dominant lesion, while the smaller lesion was no longer visible, indicating an excellent radiological response. Breast-conserving surgery was subsequently performed, and pathological examination revealed residual mucinous carcinoma with treatment-related changes.. ","Discussion 
 Breast MRI accurately delineated tumour extent, characterized suspicious enhancement patterns, and effectively monitored treatment response in this patient with dense breasts. The reduction in lesion size and enhancement after neoadjuvant therapy facilitated surgical planning and reflected therapeutic efficacy.","This case highlights the value of breast MRI throughout breast cancer management inpatients with dense breasts. MRI provides comprehensive assessment at diagnosis andafter treatment, supporting accurate staging, response evaluation, and individualizedclinical decision-making."
AA-017,"Contrast-Enhanced Mammography and Digital Breast Tomosynthesis Findings of a
 Borderline Phyllodes Tumor with Contralateral Fibroadenoma: A Case Report",Case Report/Series,"Anggit Yoso Sulistyowati1
 
 , Lina Choridah2
 
 , Rahmawati Istiningrum3","1Departement of Radiology, RSUD Loekmono Hadi Kudus, Jawa Tengah 59348, Indonesia
 2Departement of Radiology, RSUP Dr Sardjito / Faculty of Medicine, Public Health, and Nursing
 Universitas Gadjah Mada, Yogyakarta 55281, Indonesia
 3Departement of Radiology, RSU Dadi Keluarga Purwokerto, Jawa Tengah 53145, Indonesia","Borderline phyllodes tumor; contrast-enhanced mammography; digital breast
 tomosynthesis; fibroadenoma; Ki-67.",,"Borderline phyllodes tumors are uncommon fibroepithelial breast neoplasms that may resemble
 fibroadenomas radiologically and histologically. Contrast-enhanced mammography (CEM)
 provides functional information regarding lesion vascularity in addition to conventional
 mammography and digital breast tomosynthesis (DBT).","Case Presentation
 A 57-year-old woman presented with a palpable left breast mass. Bilateral 2D mammography, DBT, and CEM showed scattered fibroglandular density (ACR category B). A round, well  circumscribed hyperdense mass measuring 3.21 × 3.55 × 4.04 cm was identified in the  superolateral left breast at the 1 o'clock position. It demonstrated intense enhancement on CEM
 and was categorized as BI-RADS 4. A second round, well-circumscribed, mildly hyperdens  mass measuring 3.20 × 2.96 × 2.87 cm was detected in the superior right breast at the 11 o'clock position. It showed no pathological enhancement and was categorized as BI-RADS 3. No skin thickening, nipple retraction, or axillary lymphadenopathy was Histopathology of th  left mass revealed a 55-mm borderline phyllodes tumor with mild-to-moderate stromal atypia, increased stromal cellularity, stromal overgrowth, and three mitoses per 10 high-power fields. One surgical margin was involved. Ki-67 showed strong nuclear positivity in approximately 10% of tumor cells. The right mass was confirmed as fibroadenoma with fibrocystic changes, usua  ductal hyperplasia, and intraductal papilloma.
"," Discussion
 Phyllodes tumors and fibroadenomas may show similar circumscribed morphology on
 mammography and DBT. In this case, CEM demonstrated marked enhancement in the borderline
 phyllodes tumor but no pathological enhancement in the fibroadenoma, suggesting different
 vascular and stromal activity. Histopathological findings and Ki-67 expression supported the
 borderline classification.","CEM complements DBT by adding functional characterization and may aid differentiation of
 morphologically similar fibroepithelial breast lesions, guide tissue diagnosis, and support
 management planning."
AA-018,"HIDDEN IN SILICONE: DIAGNOSTIC CHALLENGES OF A BORDERLINE
 PHYLLODES OBSCURED BY FREE SILICONE BREAST INJECTIONS",Case Report/Series,"Jacelyn Wong Yun Qian 1 , Leon Seow Hean Howe 1 , Lai Mei San Lily 1 , Shimpi Trishna
 Ramesh 1 , Clement Chia Luck Khng 2 , Marc Ong Weijie 2 , Clarence Yeo Hai Yi 3 , Lester Leong
 Chee Hao 1","1 Department of Diagnostic Radiology, Breast Imaging Service, Khoo Teck Puat Hospital
 2 Department of General Surgery, Breast Surgery Service, Khoo Teck Puat Hospital
 3 Department of Pathology, Tan Tock Seng Hospital","Silicone injections, breast augmentation, Phyllodes tumour, Breast Cancer,
 Magnetic Resonance Imaging",,"We report a case of a 53-year-old woman with a history of free silicone breast injections who
 was found on screening MRI to have a large mixed solid-cystic breast mass within a
 background of extensive silicone-related inflammatory change and infection.","Case Presentation
 The imaging findings of the mass are described. Core needle biopsy of mass was non-
 diagnostic, yielding only breast tissue with focal infarction. Given the indeterminate imaging
 findings, discordant pathology and ongoing breast infection, the patient subsequently
 underwent mastectomy. Histopathological examination revealed a borderline phyllodes
 tumour with extensive silicone mastitis.
"," Discussion
 We describe the diagnostic challenges and management considerations of a mixed solid-
 cystic breast mass in this complex clinical setting.","This case highlights the challenges of diagnosing breast neoplasms in patients with prior free
 silicone breast injections. It also emphasizes the differential diagnostic considerations for
 mixed solid-cystic breast masses and the importance of careful radiologic-pathologic
 correlation in guiding appropriate clinical management."
AA-019,"DOES THE NUMBER OF HARVESTED SENTINEL LYMPH NODES MATTER IN
 BREAST CANCER PATIENTS WITH LIMITED NODAL BURDEN? A
 PROSPECTIVE STUDY",Scientific Research,"Geok Hoon Lim1
 
 , Me Me Win Htein1
 
 , Fuh Yong Wong2
 
 , Maria Ileana Syliangco1","Breast Department, KK Women's and Children's Hospital, Singapore, Singapore
 2 Division of Radiation Oncology, National Cancer Centre Singapore, Singapore, Singapore","breast cancer, sentinel lymph node biopsy, axillary lymph node dissection,
 recurrence, survival",https://docs.google.com/presentation/d/1ScdXTQzOH7kvzj2jlbwxtbzL0C7F8dS8/edit?usp=drive_link&ouid=106611214882199418119&rtpof=true&sd=true,"In breast cancer patients with limited nodal burden, sentinel lymph node biopsy (SLNB)
 alone, without axillary lymph node dissection (ALND), has non-inferior survival. However, it
 remains unclear how many SLNs should be harvested. We aimed to determine if the number
 of harvested SLNs affects oncological outcomes.","Methods
 From Jan 2020 to Jan 2026, T1-2 patients and 1-2 metastatic SLNs without ALND were
 prospectively enrolled and analyzed against patients who underwent ALND.
"," Results
 152 patients were enrolled, of which 63 and 89 underwent SLNB alone and ALND
 respectively. The 2 groups were comparable except that ALND group had more patients with
 mastectomy (p=0.0044), nodal radiation (p=0.0277) and macrometastasis (p=0.0001).
 Median number of harvested SLNs was 3(1-8) and 2(1-9) in the SLNB and ALND groups
 respectively. In the ALND group, residual median metastatic nodes of 1.5 (1-9) was seen in
 24.7%. Harvested SLNs of 1 (p=0.7551), 1-2 (p=0.2263) or 1-3 (p=1.0000) did not detect
 more metastatic non-SLNs. Single agent SLNB localization was used in 22% and 19.3% of
 SLNB and ALND group respectively. Though dual agent localization had more patients
 with >/=2 SLNs (p=0.0181), it did not detect more metastatic non-SLNs (P=0.1184)
 compared to single agent localization. In the SLNB group, 11.1% had 1/1 or 2/2 metastatic
 nodes. There was no recurrence after a median follow-up of 37 (3-75) months.","The number of harvested SLNs and single agent localization did not affect oncological
 outcomes in patients with limited nodal burden. Our findings need validation in larger studies
 with longer follow-up."
AA-020,"CASE REPORT : WHEN INVASIVE LOBULAR CARCINOMA MEETS
 HIGH-GRADE DUCTAL CARCINOMA IN SITU, WHAT DOES IT
 LOOK LIKE?",Case Report/Series,"Prasasti Purnandhiah 1 , Lina Choridah 2 , Lydia Kuntjoro 3","Sentra Medika Hospital, Cibinong, Indonesia",ILC; DCIS; malignant breast lesion; mammography; microcalcification,,"Both ILC and DCIS have a predilection for cellular growth along the ducts that likely
 explains imaging findings without discrete mass formation, while the clinical courses of ILC
 and DCIS are different.","Case Presentation :
 ​A 41-year-old female presented with a chief complaint of a mass in her left breast, progressively enlarged. A hard mass was palpable in the left breast region, associated skin erythema​. Breast ultrasound (US) revealed a solid, hypoechoic, amorphous mass in the left retro-papillary and retro-areolar regions, exhibiting indistinct, and spiculated margins, accompanied by clustered microcalcifications. ​Mammography revealed a hyperdense mass, indistinct and mildly spiculated margins with pleomorfic calcifications in segmental distribution. No bilateral axillary lymphadenopathy was identified. Pathological Findings :​​Invasive lobular carcinoma, grade 2, accompanied by high-grade ductal carcinoma in situ. ​ER: Positive. PR: Negative. ​Ki-67: Expressed. The patient is currently undergoing chemotherapy
 
 ","Discussion :
 ILC frequently presents on mammography as a mass with spiculated or indistinct margins,
 manifesting only as architectural distortion, asymmetry, or focal shrinkage, typically without
 associated calcifications. Conversely, DCIS predominantly manifests as suspicious
 mammographic microcalcifications. â€‹The most common US patterns of ILC are a hypoechoic
 mass with angular or indistinct margins with or without posterior acoustic shadowing. Ultrasonography is not routinely used for DCIS evaluation
 In this patient, imaging finding consistent with combination of ILC and DCIS features were
 observed on both mammography and ultrasound","ILC is more likely than DCIS to form a mass, meanwhile calcifications are very commonly
 found in DCIS. The combination of imaging features with patient history and blood or tissue
 biomarkers would enhance the value and the diagnostic accuracy of imaging for breast cancer
 screening, diagnosis, prognosis, and treatment."
AA-021,DIAGNOSTIC PERFORMANCE OF AUTOMATED BREAST ULTRASOUND VERSUS HAND-HELD ULTRASOUND IN DETECTION AND CHARACTERIZATION OF BREAST LESIONS: A SYSTEMATIC REVIEW,Scientific Research,"M Irvan Dwi Fitra1
 
 , Vininta Fazharyasti3,5, Terawan Agus Putranto4,5, Nataliandra Natasha
 
 Maarifat2,5","1Radiology Resident, Department of Radiology, Faculty of Medicine, Universitas Pembangunan
 
 Nasional Veteran, Jakarta, Indonesia
 
 2Women's Imaging Radiologist, Department of Radiology, Gatot Soebroto Army Hospital, Jakarta,
 
 Indonesia
 
 3Thoracic Radiologist, Department of Radiology, Gatot Soebroto Army Hospital, Jakarta, Indonesia
 4
 Interventional Radiologist, Department of Radiology, Gatot Soebroto Army Hospital, Jakarta,
 
 Indonesia
 
 5Faculty of Medicine, Department of Radiology, Universitas Pembangunan Nasional Veteran Jakarta,
 
 Indonesia","Automated Breast Ultrasound; Hand-Held Ultrasound; Breast Cancer; Diagnostic
 Performance; Systematic Review",,"Background: Breast cancer is the most common malignancy among women worldwide, with an
 estimated 2.3 million new cases and 666,000 deaths reported globally in 2022. Hand-Held Ultrasound
 (HHUS) is widely used for breast lesion detection but is limited by operator dependence and poor
 
 standardization. Automated Breast Ultrasound (ABUS) has emerged as a reproducible, operator-
 independent alternative enabling standardized whole-breast volumetric imaging. This systematic
 
 review aimed to evaluate the diagnostic performance of ABUS compared with HHUS in detecting and
 characterizing breast lesions.","Methods: A systematic search was conducted across PubMed, Google Scholar, and Semantic Scholar.
 Studies comparing ABUS and HHUS diagnostic performance, reporting both sensitivity and
 specificity, were included regardless of comparison design (paired or parallel-group) or clinical setting;
 PPV, NPV, accuracy, and AUC were extracted as supplementary data where available. Risk of bias was
 assessed using QUADAS-2.
"," Results: Ten studies met the inclusion criteria. Reported sensitivity ranged from 60.0% to 95.7% for
 ABUS and 51.1% to 96.3% for HHUS, while specificity ranged from 70.0% to 97.8% for ABUS and
 49.4% to 96.7% for HHUS. Among the five studies reporting area under the curve (AUC), values
 ranged from 0.79 to 0.93 for ABUS and 0.72 to 0.93 for HHUS. Several studies reported significantly
 higher specificity and/or AUC for ABUS, while others reported comparable or higher sensitivity for
 HHUS, including one study in which HHUS outperformed ABUS across all reported parameters.
 Substantial heterogeneity was noted in comparison design, reference standards, and clinical context.","Conclusion: ABUS demonstrates diagnostic performance broadly comparable to HHUS, with several
 studies favoring ABUS in specificity and/or AUC and others favoring HHUS in sensitivity. Given its
 operator-independent acquisition and reproducibility, ABUS may serve as a valuable complementary
 or alternative modality to HHUS, though heterogeneity in study design warrants cautious
 interpretation."
AA-022,DIGITAL BREAST TOMOSYNTHESIS VERSUS MRI SENSITIVITY AND SPECIFICITY FOR BREAST CANCER DETECTION IN DENSE BREASTS  WOMEN: A SYSTEMATIC REVIEW,Scientific Research,"Irfan Hadi Setyowijoyo1
 
 , Vininta Fazharyasti3,5, Terawan Agus Putranto4,5
 ,
 
 Nataliandra Natasha Maarifat2,5","1Radiology Resident, Department of Radiology, Faculty of Medicine, Universitas
 
 Pembangunan Nasional Veteran, Jakarta, Indonesia
 
 2Women's Imaging Radiologist, Department of Radiology, Gatot Soebroto Army Hospital,
 
 Jakarta, Indonesia
 
 3Thoracic Radiologist, Department of Radiology, Gatot Soebroto Army Hospital, Jakarta,
 
 Indonesia
 
 4
 Interventional Radiologist, Department of Radiology, Gatot Soebroto Army Hospital,
 
 Jakarta, Indonesia
 
 5Faculty of Medicine, Department of Radiology, Universitas Pembangunan Nasional Veteran
 
 Jakarta, Indonesia.","Breast MRI, Digital Breast Tomosynthesis (DBT), Dense Breast, Breast Cancer
 Screening, Sensitivity and Specificity",,"Dense breast reduces the sensitivity of full-field digital mammography to as low as 30-50%,
 because malignant lesions and normal fibroglandular parenchyma are both radiopaque and
 superimpose on a two-dimensional projection. Digital Breast Tomosynthesis (DBT) and breast
 MRI have been proposed to overcome this masking effect, yet their comparative accuracy
 remains contested. This review aims to comparatively evaluate the sensitivity and specificity
 of DBT versus breast MRI for breast cancer detection in women with dense breasts.","Methods
 A PRISMA 2020-based systematic review conducted across PubMed, Semantic Scholar, and
 Google Scholar. Eligible studies enrolled women with mammographically dense breasts (BI-
 RADS C-D) undergoing DBT and/or breast MRI, with at least one year of imaging follow-up
 as reference standard; reviews and studies without reported sensitivity and specificity were
 excluded. Of 2,134 screened records, 14 reports representing 13 studies met eligibility after
 title-abstract and full-text screening. Data on study design, population, index test parameters,
 reference standard, and the reported sensitivity and specificity values were extracted by a single
 reviewer into a standardized form. Methodological quality was appraised with QUADAS-2,
 and findings were synthesized narratively following the SWiM guideline.
"," Results
 Breast MRI showed higher sensitivity than DBT in every paired study, ranging 88.9-100.0%
 versus 39.1-96.4%. The widest gap occurred in the EA1141 prevalence round, where
 abbreviated MRI reached 95.7% against 39.1% for DBT in the same 1,444 women. Specificity
 favored DBT in screening populations (97.4-98.5% versus 86.7-93.3%), but this reversed in
 diagnostic cohorts (MRI 78.7-90.5%; DBT 52.8-81.0%). In the single density-stratified study,
 DBT sensitivity fell from 95.2% in BI-RADS A-C to 63.6% in BI-RADS D. Both modalities
 performed worse in the incidence round than the prevalence round.","Breast MRI retains a consistent sensitivity advantage over DBT for breast cancer detection in
 dense breasts. While evidence is limited, DBT still offers superior overall screening specificity."
